Frame,Visibility,X,Y,Time,Hit
0,0,0,0,00:00:00.0,0
1,0,0,0,00:00:00.03333333333333333,0
2,0,0,0,00:00:00.06666666666666667,0
3,0,0,0,00:00:00.1,0
4,1,616,347,00:00:00.13333333333333333,0
5,1,610,347,00:00:00.16666666666666666,0
6,1,603,351,00:00:00.2,0
7,1,602,351,00:00:00.23333333333333334,0
8,1,596,356,00:00:00.26666666666666666,0
9,1,588,363,00:00:00.3,0
10,1,583,371,00:00:00.3333333333333333,0
11,1,577,381,00:00:00.36666666666666664,0
12,1,571,392,00:00:00.4,0
13,1,571,391,00:00:00.43333333333333335,0
14,1,565,401,00:00:00.4666666666666667,0
15,0,0,0,00:00:00.5,0
16,1,585,403,00:00:00.5333333333333333,0
17,0,0,0,00:00:00.5666666666666667,1
18,0,0,0,00:00:00.6,0
19,1,636,328,00:00:00.6333333333333333,0
20,0,0,0,00:00:00.6666666666666666,0
21,0,0,0,00:00:00.7,0
22,0,0,0,00:00:00.7333333333333333,0
23,0,0,0,00:00:00.7666666666666666,0
24,0,0,0,00:00:00.8,0
25,0,0,0,00:00:00.8333333333333334,0
26,1,712,342,00:00:00.8666666666666667,0
27,1,723,338,00:00:00.9,0
28,1,735,341,00:00:00.9333333333333333,0
29,1,746,343,00:00:00.9666666666666667,0
30,1,755,350,00:00:01.0,0
31,1,756,350,00:00:01.0333333333333332,0
32,1,763,353,00:00:01.0666666666666667,0
33,1,771,360,00:00:01.1,0
34,1,780,366,00:00:01.1333333333333333,0
35,1,786,376,00:00:01.1666666666666667,0
36,1,793,385,00:00:01.2,0
37,1,793,386,00:00:01.2333333333333334,0
38,1,801,393,00:00:01.2666666666666666,0
39,1,807,403,00:00:01.3,1
40,1,816,397,00:00:01.3333333333333333,0
41,1,821,381,00:00:01.3666666666666667,0
42,1,821,372,00:00:01.4,0
43,1,822,371,00:00:01.4333333333333333,0
44,1,831,362,00:00:01.4666666666666666,0
45,1,833,356,00:00:01.5,0
46,1,835,348,00:00:01.5333333333333332,0
47,1,836,346,00:00:01.5666666666666667,0
48,0,0,0,00:00:01.6,0
49,0,0,0,00:00:01.6333333333333333,0
50,1,841,341,00:00:01.6666666666666667,0
51,1,838,340,00:00:01.7,0
52,1,841,341,00:00:01.7333333333333334,0
53,1,841,343,00:00:01.7666666666666666,0
54,1,843,350,00:00:01.8,0
55,1,845,351,00:00:01.8333333333333333,0
56,1,846,356,00:00:01.8666666666666667,0
57,1,847,363,00:00:01.9,0
58,1,848,373,00:00:01.9333333333333333,0
59,1,851,383,00:00:01.9666666666666666,0
60,1,851,393,00:00:02.0,0
61,1,851,396,00:00:02.033333333333333,0
62,1,852,406,00:00:02.0666666666666664,0
63,1,853,418,00:00:02.1,0
64,1,853,436,00:00:02.1333333333333333,0
65,0,0,0,00:00:02.1666666666666665,0
66,1,832,435,00:00:02.2,0
67,1,831,433,00:00:02.2333333333333334,1
68,1,793,373,00:00:02.2666666666666666,0
69,1,761,328,00:00:02.3,0
70,1,736,293,00:00:02.3333333333333335,0
71,1,713,266,00:00:02.3666666666666667,0
72,1,697,246,00:00:02.4,0
73,1,697,245,00:00:02.433333333333333,0
74,1,677,223,00:00:02.466666666666667,0
75,1,661,206,00:00:02.5,0
76,1,648,193,00:00:02.533333333333333,0
77,1,633,181,00:00:02.5666666666666664,0
78,1,625,173,00:00:02.6,0
79,1,623,172,00:00:02.6333333333333333,0
80,1,613,166,00:00:02.6666666666666665,0
81,1,603,161,00:00:02.7,0
82,1,593,156,00:00:02.7333333333333334,0
83,1,585,153,00:00:02.7666666666666666,0
84,1,578,153,00:00:02.8,0
85,1,576,153,00:00:02.8333333333333335,0
86,1,571,153,00:00:02.8666666666666667,0
87,1,563,155,00:00:02.9,0
88,1,556,156,00:00:02.933333333333333,0
89,1,550,161,00:00:02.966666666666667,0
90,1,543,166,00:00:03.0,0
91,1,543,167,00:00:03.033333333333333,0
92,1,538,171,00:00:03.0666666666666664,0
93,1,532,178,00:00:03.1,0
94,1,528,186,00:00:03.1333333333333333,0
95,1,523,196,00:00:03.1666666666666665,0
96,1,521,203,00:00:03.2,0
97,1,518,206,00:00:03.2333333333333334,0
98,1,516,216,00:00:03.2666666666666666,0
99,1,511,226,00:00:03.3,0
100,1,508,238,00:00:03.3333333333333335,0
101,1,503,253,00:00:03.3666666666666667,0
102,1,508,273,00:00:03.4,1
103,1,507,275,00:00:03.433333333333333,0
104,1,511,288,00:00:03.466666666666667,0
105,1,511,301,00:00:03.5,0
106,1,513,316,00:00:03.533333333333333,0
107,1,515,328,00:00:03.5666666666666664,0
108,1,516,342,00:00:03.6,0
109,1,516,343,00:00:03.6333333333333333,0
110,1,516,355,00:00:03.6666666666666665,0
111,1,516,368,00:00:03.6999999999999997,0
112,1,517,381,00:00:03.7333333333333334,0
113,1,517,396,00:00:03.7666666666666666,0
114,1,516,408,00:00:03.8,0
115,1,518,407,00:00:03.8333333333333335,0
116,0,0,0,00:00:03.8666666666666667,1
117,0,0,0,00:00:03.9,0
118,1,613,336,00:00:03.933333333333333,0
119,1,615,343,00:00:03.966666666666667,0
120,0,0,0,00:00:04.0,0
121,0,0,0,00:00:04.033333333333333,0
122,0,0,0,00:00:04.066666666666666,0
123,1,648,353,00:00:04.1,0
124,1,657,352,00:00:04.133333333333333,0
125,1,666,355,00:00:04.166666666666667,0
126,0,0,0,00:00:04.2,0
127,0,0,0,00:00:04.233333333333333,0
128,1,682,361,00:00:04.266666666666667,0
129,1,691,366,00:00:04.3,0
130,1,696,372,00:00:04.333333333333333,0
131,1,703,378,00:00:04.366666666666666,0
132,1,708,386,00:00:04.4,0
133,1,708,386,00:00:04.433333333333334,0
134,1,713,393,00:00:04.466666666666667,0
135,1,720,402,00:00:04.5,0
136,1,726,412,00:00:04.533333333333333,0
137,1,731,422,00:00:04.566666666666666,0
138,1,742,407,00:00:04.6,0
139,1,743,405,00:00:04.633333333333333,1
140,1,748,387,00:00:04.666666666666667,0
141,1,752,371,00:00:04.7,0
142,1,756,356,00:00:04.733333333333333,0
143,1,761,348,00:00:04.766666666666667,0
144,1,766,342,00:00:04.8,0
145,1,767,341,00:00:04.833333333333333,0
146,1,773,336,00:00:04.866666666666666,0
147,1,778,331,00:00:04.9,0
148,1,783,326,00:00:04.933333333333334,0
149,1,790,323,00:00:04.966666666666667,0
150,1,793,323,00:00:05.0,0
151,1,793,323,00:00:05.033333333333333,0
152,1,798,323,00:00:05.066666666666666,0
153,1,801,326,00:00:05.1,0
