Frame,Visibility,X,Y,Time,Hit
0,0,0,0,00:00:00.0,0
1,0,0,0,00:00:00.03333333333333333,0
2,0,0,0,00:00:00.06666666666666667,0
3,0,0,0,00:00:00.1,0
4,0,0,0,00:00:00.13333333333333333,0
5,0,0,0,00:00:00.16666666666666666,0
6,0,0,0,00:00:00.2,0
7,0,0,0,00:00:00.23333333333333334,0
8,0,0,0,00:00:00.26666666666666666,0
9,0,0,0,00:00:00.3,0
10,0,0,0,00:00:00.3333333333333333,0
11,0,0,0,00:00:00.36666666666666664,0
12,1,567,348,00:00:00.4,0
13,1,566,348,00:00:00.43333333333333335,0
14,1,565,353,00:00:00.4666666666666667,0
15,1,566,357,00:00:00.5,1
16,1,581,351,00:00:00.5333333333333333,0
17,1,588,343,00:00:00.5666666666666667,0
18,0,0,0,00:00:00.6,0
19,0,0,0,00:00:00.6333333333333333,0
20,0,0,0,00:00:00.6666666666666666,0
21,0,0,0,00:00:00.7,0
22,0,0,0,00:00:00.7333333333333333,0
23,0,0,0,00:00:00.7666666666666666,0
24,0,0,0,00:00:00.8,0
25,0,0,0,00:00:00.8333333333333334,0
26,0,0,0,00:00:00.8666666666666667,0
27,1,636,350,00:00:00.9,0
28,1,643,356,00:00:00.9333333333333333,0
29,1,648,366,00:00:00.9666666666666667,0
30,0,0,0,00:00:01.0,0
31,0,0,0,00:00:01.0333333333333332,0
32,1,657,383,00:00:01.0666666666666667,0
33,1,663,398,00:00:01.1,0
34,1,668,408,00:00:01.1333333333333333,0
35,0,0,0,00:00:01.1666666666666667,0
36,1,690,410,00:00:01.2,1
37,1,688,407,00:00:01.2333333333333334,0
38,1,696,395,00:00:01.2666666666666666,0
39,1,712,378,00:00:01.3,0
40,1,721,365,00:00:01.3333333333333333,0
41,1,727,356,00:00:01.3666666666666667,0
42,0,0,0,00:00:01.4,0
43,0,0,0,00:00:01.4333333333333333,0
44,1,741,343,00:00:01.4666666666666666,0
45,1,746,336,00:00:01.5,0
46,1,753,336,00:00:01.5333333333333332,0
47,1,758,336,00:00:01.5666666666666667,0
48,1,763,337,00:00:01.6,0
49,1,765,336,00:00:01.6333333333333333,0
50,1,768,338,00:00:01.6666666666666667,0
51,1,776,341,00:00:01.7,0
52,1,781,346,00:00:01.7333333333333334,0
53,1,786,351,00:00:01.7666666666666666,0
54,1,788,358,00:00:01.8,0
55,1,791,358,00:00:01.8333333333333333,0
56,1,793,363,00:00:01.8666666666666667,0
57,1,798,373,00:00:01.9,0
58,1,801,382,00:00:01.9333333333333333,0
59,1,803,391,00:00:01.9666666666666666,1
60,0,0,0,00:00:02.0,0
61,0,0,0,00:00:02.033333333333333,0
62,1,760,375,00:00:02.0666666666666664,0
63,0,0,0,00:00:02.1,0
64,0,0,0,00:00:02.1333333333333333,0
65,1,706,356,00:00:02.1666666666666665,0
66,1,692,356,00:00:02.2,0
67,1,692,356,00:00:02.2333333333333334,0
68,1,678,358,00:00:02.2666666666666666,0
69,1,663,360,00:00:02.3,0
70,1,646,362,00:00:02.3333333333333335,0
71,1,633,366,00:00:02.3666666666666667,0
72,0,0,0,00:00:02.4,0
73,1,616,373,00:00:02.433333333333333,0
74,1,608,377,00:00:02.466666666666667,0
75,1,595,385,00:00:02.5,0
76,1,581,396,00:00:02.533333333333333,0
77,1,571,406,00:00:02.5666666666666664,0
78,1,561,416,00:00:02.6,0
79,1,558,418,00:00:02.6333333333333333,0
80,1,548,430,00:00:02.6666666666666665,0
81,1,538,441,00:00:02.7,0
82,1,528,455,00:00:02.7333333333333334,0
83,1,520,465,00:00:02.7666666666666666,0
84,0,0,0,00:00:02.8,0
85,0,0,0,00:00:02.8333333333333335,1
86,1,576,288,00:00:02.8666666666666667,0
87,1,525,430,00:00:02.9,0
88,1,605,198,00:00:02.933333333333333,0
89,1,616,166,00:00:02.966666666666667,0
90,1,623,133,00:00:03.0,0
91,0,0,0,00:00:03.033333333333333,0
92,1,636,113,00:00:03.0666666666666664,0
93,1,643,88,00:00:03.1,0
94,1,651,72,00:00:03.1333333333333333,0
95,1,660,56,00:00:03.1666666666666665,0
96,1,666,43,00:00:03.2,0
97,1,666,42,00:00:03.2333333333333334,0
98,1,672,33,00:00:03.2666666666666666,0
99,1,678,23,00:00:03.3,0
100,1,686,16,00:00:03.3333333333333335,0
101,1,691,11,00:00:03.3666666666666667,0
102,1,696,10,00:00:03.4,0
103,1,697,8,00:00:03.433333333333333,0
104,1,701,6,00:00:03.466666666666667,0
105,1,706,6,00:00:03.5,0
106,1,711,6,00:00:03.533333333333333,0
107,1,715,6,00:00:03.5666666666666664,0
108,1,720,10,00:00:03.6,0
109,1,721,8,00:00:03.6333333333333333,0
110,1,723,13,00:00:03.6666666666666665,0
111,1,728,20,00:00:03.6999999999999997,0
112,1,733,26,00:00:03.7333333333333334,0
113,1,736,33,00:00:03.7666666666666666,0
114,1,741,42,00:00:03.8,0
115,1,741,43,00:00:03.8333333333333335,0
116,1,746,51,00:00:03.8666666666666667,0
117,1,748,61,00:00:03.9,0
118,1,751,73,00:00:03.933333333333333,0
119,1,756,86,00:00:03.966666666666667,0
120,1,758,100,00:00:04.0,0
121,1,760,100,00:00:04.033333333333333,0
122,1,761,111,00:00:04.066666666666666,0
123,1,763,126,00:00:04.1,0
124,1,766,140,00:00:04.133333333333333,0
125,1,768,156,00:00:04.166666666666667,0
126,1,771,170,00:00:04.2,0
127,1,771,171,00:00:04.233333333333333,0
128,1,772,186,00:00:04.266666666666667,0
129,1,718,241,00:00:04.3,1
130,1,666,291,00:00:04.333333333333333,0
131,1,616,341,00:00:04.366666666666666,0
132,1,598,363,00:00:04.4,0
133,1,596,362,00:00:04.433333333333334,0
134,1,566,393,00:00:04.466666666666667,0
135,1,541,423,00:00:04.5,0
136,1,520,446,00:00:04.533333333333333,0
137,1,498,472,00:00:04.566666666666666,0
138,1,482,498,00:00:04.6,0
139,0,0,0,00:00:04.633333333333333,0
140,1,463,521,00:00:04.666666666666667,0
141,1,450,541,00:00:04.7,0
142,1,435,566,00:00:04.733333333333333,0
143,1,407,585,00:00:04.766666666666667,0
144,0,0,0,00:00:04.8,0
145,0,0,0,00:00:04.833333333333333,0
146,1,840,408,00:00:04.866666666666666,0
147,1,350,621,00:00:04.9,0
148,1,341,618,00:00:04.933333333333334,0
149,1,331,621,00:00:04.966666666666667,0
150,1,322,625,00:00:05.0,0
151,1,321,625,00:00:05.033333333333333,0
152,1,316,626,00:00:05.066666666666666,0
153,1,303,633,00:00:05.1,0
